time,balance,dax
301,1213.786381,1320.359985
302,1204.593536,1310.359985
303,1221.747416,1329.02002
304,1225.093624,1332.660034
305,1216.801661,1323.640015
306,1218.520718,1325.51001
307,1194.297596,1299.160034
308,1197.064651,1302.170044
309,1203.150309,1308.790039
310,1198.526282,1303.76001
311,1202.644658,1308.23999
312,1204.869367,1310.660034
313,1209.778314,1316
314,1213.345142,1319.880005
315,1231.317198,1339.430054
316,1233.587803,1341.900024
317,1237.899194,1346.589966
318,1242.394508,1351.47998
319,1237.421147,1346.069946
320,1252.607745,1362.589966
321,1260.954919,1371.670044
322,1267.969064,1379.300049
323,1283.633594,1396.339966
324,1267.095677,1378.349976
325,1283.036036,1395.689941
326,1278.366112,1390.609985
327,1278.761454,1391.040039
328,1275.295734,1387.27002
329,1264.87108,1375.930054
330,1262.627967,1373.48999
331,1258.132653,1368.599976
332,1263.271421,1374.189941
333,1263.795477,1374.76001
334,1263.133619,1374.040039
335,1249.362756,1359.060059
336,1255.623024,1365.869995
337,1268.869944,1380.280029
338,1268.042566,1379.380005
339,1258.886529,1369.420044
340,1257.700616,1368.130005
341,1257.001951,1367.369995
342,1239.434439,1348.26001
343,1230.857556,1338.930054
344,1230.351904,1338.380005
345,1239.811377,1348.670044
346,1244.784625,1354.079956
347,1242.486414,1351.579956
348,1239.737763,1348.589966
349,1259.006041,1369.550049
350,1262.683178,1373.550049
351,1267.353103,1378.630005
352,1289.360718,1402.569946
353,1293.479207,1407.050049
354,1293.39639,1406.959961
355,1303.389008,1417.829956
356,1306.983441,1421.73999
357,1295.225757,1408.949951
358,1314.484833,1429.900024
359,1323.769584,1440
360,1320.919824,1436.900024
361,1318.088357,1433.819946
362,1310.697386,1425.780029
363,1317.555212,1433.23999
364,1311.065123,1426.180054
365,1314.769753,1430.209961
366,1336.262628,1453.589966
367,1357.957718,1477.189941
368,1351.69745,1470.380005
369,1365.413214,1485.300049
370,1365.422416,1485.310059
371,1366.782938,1486.790039
372,1356.018041,1475.079956
373,1371.627586,1492.060059
374,1368.042354,1488.160034
375,1357.985324,1477.219971
376,1365.505119,1485.400024
377,1389.847754,1511.880005
378,1389.847754,1496.810059
379,1389.847754,1486.790039
380,1389.847754,1507.880005
381,1389.847754,1520.599976
382,1389.847754,1503.359985
383,1389.847754,1511.390015
384,1389.847754,1513.560059
385,1389.847754,1527.599976
386,1389.847754,1530.23999
387,1389.847754,1515.619995
388,1389.847754,1535.119995
389,1389.847754,1546.48999
390,1389.847754,1556.380005
391,1389.847754,1554.579956
392,1389.847754,1550.01001
393,1389.847754,1570.550049
394,1389.847754,1564.869995
395,1389.847754,1554.589966
396,1389.847754,1548.680054
397,1389.847754,1576.390015
398,1389.847754,1590.130005
399,1389.847754,1574.719971
400,1389.847754,1585.369995
401,1389.847754,1584.280029
402,1389.847754,1604.640015
403,1389.847754,1602.890015
404,1389.847754,1615.579956
405,1389.847754,1610.420044
406,1389.847754,1586.75
407,1389.847754,1567.900024
